Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
257,tanh,sgd,,0.001,0.001,0.784333348274231,10.652783393859863,0.7705000042915344,10.676764488220215
86,relu,rmsprop,0.2,0.001,0.001,0.7835000157356262,1.249447226524353,0.7656000256538391,1.2721906900405884
253,tanh,sgd,,,,0.7835000157356262,0.6784747242927551,0.7666000127792358,0.702010989189148
141,LeakyReLU,adam,0.5,0.001,0.005,0.7831666469573975,1.2566779851913452,0.7687000036239624,1.2764954566955566
195,LeakyReLU,rmsprop,0.2,0.001,0.005,0.7825000286102295,1.203603744506836,0.7713000178337097,1.2276843786239624
202,LeakyReLU,rmsprop,0.3,0.001,,0.7820000052452087,1.289838433265686,0.7699999809265137,1.313284993171692
258,tanh,sgd,,0.001,0.005,0.7808333039283752,12.14047622680664,0.7674999833106995,12.1615629196167
85,relu,rmsprop,0.2,0.001,,0.7796666622161865,1.2976477146148682,0.7666000127792358,1.329343318939209
103,relu,rmsprop,0.5,0.001,,0.7795000076293945,1.3705631494522095,0.7688999772071838,1.3920706510543823
31,relu,adam,0.5,0.001,,0.7795000076293945,1.3303812742233276,0.7682999968528748,1.3537949323654175
265,tanh,sgd,0.2,0.001,,0.7793333530426025,10.200578689575195,0.7667999863624573,10.222967147827148
273,tanh,sgd,0.3,,0.005,0.7789999842643738,3.386108160018921,0.7631999850273132,3.407938241958618
319,tanh,rmsprop,0.5,0.001,,0.7788333296775818,1.4540431499481201,0.755299985408783,1.4874590635299683
262,tanh,sgd,0.2,,,0.7774999737739563,0.6817821264266968,0.7584999799728394,0.7029157280921936
300,tanh,rmsprop,0.2,,0.005,0.7773333191871643,0.9340118765830994,0.7669000029563904,0.9644969701766968
267,tanh,sgd,0.2,0.001,0.005,0.7770000100135803,12.117947578430176,0.7595000267028809,12.138736724853516
204,LeakyReLU,rmsprop,0.3,0.001,0.005,0.7761666774749756,1.2585437297821045,0.7626000046730042,1.2801228761672974
87,relu,rmsprop,0.2,0.001,0.005,0.7760000228881836,1.2392191886901855,0.7649999856948853,1.26401948928833
38,relu,sgd,,,0.001,0.7756666541099548,1.2859398126602173,0.7644000053405762,1.3084310293197632
184,LeakyReLU,rmsprop,,0.001,,0.7749999761581421,1.2389086484909058,0.7566999793052673,1.2722861766815186
147,LeakyReLU,sgd,,,0.005,0.7746666669845581,3.427553653717041,0.7541000247001648,3.4540765285491943
271,tanh,sgd,0.3,,,0.7741666436195374,0.6870027780532837,0.7603999972343445,0.7123739123344421
266,tanh,sgd,0.2,0.001,0.001,0.7739999890327454,10.625284194946289,0.7621999979019165,10.647765159606934
148,LeakyReLU,sgd,,0.001,,0.7738333344459534,10.264680862426758,0.758899986743927,10.287453651428223
32,relu,adam,0.5,0.001,0.001,0.7733333110809326,1.3122113943099976,0.7615000009536743,1.334886074066162
146,LeakyReLU,sgd,,,0.001,0.7733333110809326,1.2815134525299072,0.7554000020027161,1.306692123413086
33,relu,adam,0.5,0.001,0.005,0.7731666564941406,1.2662677764892578,0.7590000033378601,1.2894765138626099
302,tanh,rmsprop,0.2,0.001,0.001,0.7730000019073486,1.187483549118042,0.7653999924659729,1.2112326622009277
256,tanh,sgd,,0.001,,0.7730000019073486,10.208884239196777,0.7602999806404114,10.227892875671387
276,tanh,sgd,0.3,0.001,0.005,0.7728333473205566,12.110796928405762,0.7597000002861023,12.132184028625488
94,relu,rmsprop,0.3,0.001,,0.7713333368301392,1.3332500457763672,0.7602999806404114,1.35956609249115
223,tanh,adam,,0.005,,0.7705000042915344,1.3242250680923462,0.7591000199317932,1.3450775146484375
123,LeakyReLU,adam,0.2,0.001,0.005,0.7703333497047424,1.1947115659713745,0.760699987411499,1.2128065824508667
264,tanh,sgd,0.2,,0.005,0.7691666483879089,3.412290334701538,0.7566999793052673,3.4287915229797363
78,relu,rmsprop,,0.001,0.005,0.7680000066757202,1.2128963470458984,0.7555999755859375,1.2402254343032837
